PRCNT_CHNG_FROM_MED_PRICE,MONTHS_POST_FLOOD,YEAR_BUILT,SQUARE_FOOTAGE,CUMUL_FLOODS
0,3,2006,2481,2
-0.075,4,2006,2481,2
0,5,2006,2481,2
0,6,2006,2481,2
1.969,7,2006,2481,2
1.645,8,2006,2481,2
1.47,9,2006,2481,2
2.268,10,2006,2481,2
2.392,11,2006,2481,2
3.215,12,2006,2481,2
4.012,13,2006,2481,2
1.719,14,2006,2481,2
4.461,15,2006,2481,2
6.529,16,2006,2481,2
8.796,17,2006,2481,2
9.419,18,2006,2481,2
8.173,19,2006,2481,2
7.177,20,2006,2481,2
7.127,21,2006,2481,2
8.697,22,2006,2481,2
9.619,23,2006,2481,2
9.22,24,2006,2481,2
8.771,25,2006,2481,2
3.025,1,2005,2930,1
2.103,2,2005,2930,1
1.725,3,2005,2930,1
2.292,4,2005,2930,1
2.363,5,2005,2930,1
2.599,6,2005,2930,1
2.717,7,2005,2930,1
1.772,8,2005,2930,1
1.796,9,2005,2930,1
2.906,10,2005,2930,1
1.04,11,2005,2930,1
1.3,12,2005,2930,1
0.614,13,2005,2930,1
-3.899,14,2005,2930,1
-3.403,15,2005,2930,1
-4.017,16,2005,2930,1
-3.852,17,2005,2930,1
-4.655,18,2005,2930,1
-5.104,19,2005,2930,1
-5.246,20,2005,2930,1
-5.08,21,2005,2930,1
-1.678,22,2005,2930,1
-0.945,23,2005,2930,1
-1.89,1,2005,2930,2
-1.749,2,2005,2930,2
-1.725,3,2005,2930,2
-1.252,4,2005,2930,2
-2.009,5,2005,2930,2
-2.009,6,2005,2930,2
-2.812,7,2005,2930,2
-2.363,8,2005,2930,2
-2.198,9,2005,2930,2
-1.489,10,2005,2930,2
-1.063,11,2005,2930,2
-0.803,12,2005,2930,2
-0.236,13,2005,2930,2
-0.236,14,2005,2930,2
0.236,15,2005,2930,2
2.387,16,2005,2930,2
1.914,17,2005,2930,2
3.521,18,2005,2930,2
3.403,19,2005,2930,2
3.001,20,2005,2930,2
5.6,21,2005,2930,2
4.868,22,2005,2930,2
5.482,23,2005,2930,2
5.198,24,2005,2930,2
6.664,25,2005,2930,2
-9.878,1,2008,1629,1
-9.301,2,2008,1629,1
-9.212,3,2008,1629,1
-8.59,4,2008,1629,1
-8.28,5,2008,1629,1
-5.749,6,2008,1629,1
-4.595,7,2008,1629,1
-2.242,8,2008,1629,1
-2.331,9,2008,1629,1
-2.464,10,2008,1629,1
-2.863,11,2008,1629,1
-2.242,12,2008,1629,1
-2.153,13,2008,1629,1
-2.109,14,2008,1629,1
-2.02,15,2008,1629,1
0.777,16,2008,1629,1
-0.111,17,2008,1629,1
-1.576,18,2008,1629,1
-1.976,19,2008,1629,1
-1.709,20,2008,1629,1
-1.976,21,2008,1629,1
-1.798,22,2008,1629,1
-2.153,23,2008,1629,1
-2.02,1,2008,1629,2
-0.511,2,2008,1629,2
0.111,3,2008,1629,2
0.422,4,2008,1629,2
0.2,5,2008,1629,2
0.155,6,2008,1629,2
0.644,7,2008,1629,2
2.331,8,2008,1629,2
3.618,9,2008,1629,2
9.034,10,2008,1629,2
8.324,11,2008,1629,2
8.413,12,2008,1629,2
9.301,13,2008,1629,2
7.481,14,2008,1629,2
7.88,15,2008,1629,2
8.59,16,2008,1629,2
10.055,17,2008,1629,2
9.745,18,2008,1629,2
9.967,19,2008,1629,2
9.745,20,2008,1629,2
9.967,21,2008,1629,2
9.922,22,2008,1629,2
10.411,23,2008,1629,2
9.612,24,2008,1629,2
10.499,25,2008,1629,2
-8.372,1,2007,2100,1
-7.492,2,2007,2100,1
-8.257,3,2007,2100,1
-9.021,4,2007,2100,1
-7.989,5,2007,2100,1
-6.843,6,2007,2100,1
-6.843,7,2007,2100,1
-6.651,8,2007,2100,1
-5.046,9,2007,2100,1
-3.631,10,2007,2100,1
-3.631,11,2007,2100,1
-5.543,12,2007,2100,1
-3.096,13,2007,2100,1
-3.135,14,2007,2100,1
-1.682,15,2007,2100,1
1.644,16,2007,2100,1
0.956,17,2007,2100,1
0.191,18,2007,2100,1
-0.038,19,2007,2100,1
-0.306,20,2007,2100,1
-0.229,21,2007,2100,1
-1.376,22,2007,2100,1
-1.414,23,2007,2100,1
-2.026,1,2007,2100,2
-0.573,2,2007,2100,2
0.306,3,2007,2100,2
0.038,4,2007,2100,2
0.917,5,2007,2100,2
-0.153,6,2007,2100,2
-0.153,7,2007,2100,2
2.523,8,2007,2100,2
5.237,9,2007,2100,2
7.722,10,2007,2100,2
7.378,11,2007,2100,2
8.333,12,2007,2100,2
7.951,13,2007,2100,2
7.416,14,2007,2100,2
6.575,15,2007,2100,2
7.645,16,2007,2100,2
9.442,17,2007,2100,2
9.518,18,2007,2100,2
10.512,19,2007,2100,2
10.015,20,2007,2100,2
10.245,21,2007,2100,2
11.047,22,2007,2100,2
10.665,23,2007,2100,2
11.009,24,2007,2100,2
8.563,25,2007,2100,2
-29.266,1,1996,1904,1
-29.06,2,1996,1904,1
-30.759,3,1996,1904,1
-22.677,4,1996,1904,1
-23.089,5,1996,1904,1
-22.78,6,1996,1904,1
-22.42,7,1996,1904,1
-19.691,8,1996,1904,1
-20.927,9,1996,1904,1
-20.618,10,1996,1904,1
-19.743,11,1996,1904,1
-17.323,12,1996,1904,1
-15.367,13,1996,1904,1
-15.985,14,1996,1904,1
-15.006,15,1996,1904,1
-11.197,16,1996,1904,1
-10.631,17,1996,1904,1
6.255,18,1996,1904,1
0.798,19,1996,1904,1
6.564,20,1996,1904,1
6.049,21,1996,1904,1
5.792,22,1996,1904,1
5.74,23,1996,1904,1
2.342,1,1996,1904,2
-1.725,2,1996,1904,2
1.519,3,1996,1904,2
2.445,4,1996,1904,2
2.857,5,1996,1904,2
-1.931,6,1996,1904,2
-8.468,7,1996,1904,2
-6.718,8,1996,1904,2
-6.409,9,1996,1904,2
1.107,10,1996,1904,2
3.784,11,1996,1904,2
3.887,12,1996,1904,2
4.247,13,1996,1904,2
3.526,14,1996,1904,2
-0.901,15,1996,1904,2
-0.438,16,1996,1904,2
2.136,17,1996,1904,2
0.438,18,1996,1904,2
2.6,19,1996,1904,2
10.27,20,1996,1904,2
13.822,21,1996,1904,2
13.719,22,1996,1904,2
16.448,23,1996,1904,2
17.941,24,1996,1904,2
19.949,25,1996,1904,2
-26.765,1,2003,1424,1
-25.444,2,2003,1424,1
-24.378,3,2003,1424,1
-25.546,4,2003,1424,1
-25.089,5,2003,1424,1
-24.937,6,2003,1424,1
-24.835,7,2003,1424,1
-25.241,8,2003,1424,1
-21.788,9,2003,1424,1
-21.28,10,2003,1424,1
-19.959,11,2003,1424,1
-17.42,12,2003,1424,1
-16.709,13,2003,1424,1
-17.166,14,2003,1424,1
-13.763,15,2003,1424,1
-19.502,16,2003,1424,1
-17.166,17,2003,1424,1
-21.381,18,2003,1424,1
-20.01,19,2003,1424,1
-17.674,20,2003,1424,1
-16.506,21,2003,1424,1
9.294,22,2003,1424,1
1.067,23,2003,1424,1
1.067,1,2003,1424,2
-0.609,2,2003,1424,2
-0.203,3,2003,1424,2
0.254,4,2003,1424,2
-0.152,5,2003,1424,2
0.152,6,2003,1424,2
0.559,7,2003,1424,2
1.27,8,2003,1424,2
1.32,9,2003,1424,2
2.438,10,2003,1424,2
2.996,11,2003,1424,2
3.454,12,2003,1424,2
4.012,13,2003,1424,2
4.215,14,2003,1424,2
4.622,15,2003,1424,2
6.958,16,2003,1424,2
6.45,17,2003,1424,2
8.126,18,2003,1424,2
7.872,19,2003,1424,2
7.77,20,2003,1424,2
10.157,21,2003,1424,2
9.497,22,2003,1424,2
10.056,23,2003,1424,2
9.853,24,2003,1424,2
11.224,25,2003,1424,2
-0.472,1,1988,1282,1
-0.756,2,1988,1282,1
-0.945,3,1988,1282,1
-13.651,4,1988,1282,1
-11.951,5,1988,1282,1
-11.809,6,1988,1282,1
-9.636,7,1988,1282,1
-10.298,8,1988,1282,1
-7.511,9,1988,1282,1
-5.999,10,1988,1282,1
-5.432,11,1988,1282,1
-0.756,12,1988,1282,1
-2.74,13,1988,1282,1
-1.512,14,1988,1282,1
1.559,15,1988,1282,1
5.149,16,1988,1282,1
3.59,17,1988,1282,1
0.897,18,1988,1282,1
-0.85,19,1988,1282,1
-0.803,20,1988,1282,1
-0.803,21,1988,1282,1
-1.039,22,1988,1282,1
-0.661,23,1988,1282,1
0.52,1,1988,1282,2
-0.472,2,1988,1282,2
0.661,3,1988,1282,2
-1.039,4,1988,1282,2
-2.692,5,1988,1282,2
-3.023,6,1988,1282,2
0.661,7,1988,1282,2
-2.267,8,1988,1282,2
0.472,9,1988,1282,2
2.551,10,1988,1282,2
5.102,11,1988,1282,2
3.59,12,1988,1282,2
5.763,13,1988,1282,2
6.519,14,1988,1282,2
8.597,15,1988,1282,2
9.211,16,1988,1282,2
8.408,17,1988,1282,2
8.786,18,1988,1282,2
10.345,19,1988,1282,2
11.998,20,1988,1282,2
13.793,21,1988,1282,2
14.691,22,1988,1282,2
15.257,23,1988,1282,2
16.675,24,1988,1282,2
16.344,25,1988,1282,2
-8.72,1,2000,2295,1
-6.438,2,2000,2295,1
-6.466,3,2000,2295,1
-6.353,4,2000,2295,1
-7.001,5,2000,2295,1
-9.818,6,2000,2295,1
-6.776,7,2000,2295,1
-4.634,8,2000,2295,1
-5.621,9,2000,2295,1
-2.944,10,2000,2295,1
-2.24,11,2000,2295,1
-1.479,12,2000,2295,1
-1.366,13,2000,2295,1
1.423,14,2000,2295,1
0.803,15,2000,2295,1
-0.549,16,2000,2295,1
0.38,17,2000,2295,1
-2.296,18,2000,2295,1
-0.916,19,2000,2295,1
15.847,20,2000,2295,1
17.425,21,2000,2295,1
18.045,22,2000,2295,1
17.397,23,2000,2295,1
11.142,1,2000,2295,2
12.241,2,2000,2295,2
15.904,3,2000,2295,2
17.059,4,2000,2295,2
17.171,5,2000,2295,2
17.425,6,2000,2295,2
14.495,7,2000,2295,2
13.453,8,2000,2295,2
16.298,9,2000,2295,2
15.735,10,2000,2295,2
4.437,11,2000,2295,2
-0.521,12,2000,2295,2
-3.958,13,2000,2295,2
-4.156,14,2000,2295,2
-2.127,15,2000,2295,2
-1.93,16,2000,2295,2
-1.535,17,2000,2295,2
-0.38,18,2000,2295,2
-0.409,19,2000,2295,2
0.747,20,2000,2295,2
1.028,21,2000,2295,2
0.718,22,2000,2295,2
2.831,23,2000,2295,2
2.268,24,2000,2295,2
3.93,25,2000,2295,2
-3.108,1,2006,2009,1
-2.007,2,2006,2009,1
-3.392,3,2006,2009,1
-4.067,4,2006,2009,1
-3.108,5,2006,2009,1
-1.936,6,2006,2009,1
-1.829,7,2006,2009,1
-1.438,8,2006,2009,1
0.018,9,2006,2009,1
1.012,10,2006,2009,1
1.403,11,2006,2009,1
2.966,12,2006,2009,1
2.504,13,2006,2009,1
3.037,14,2006,2009,1
4.529,15,2006,2009,1
7.867,16,2006,2009,1
7.334,17,2006,2009,1
5.843,18,2006,2009,1
5.985,19,2006,2009,1
6.446,20,2006,2009,1
5.949,21,2006,2009,1
5.452,22,2006,2009,1
6.162,23,2006,2009,1
0.977,1,2006,2009,2
-3.747,2,2006,2009,2
-7.725,3,2006,2009,2
-7.761,4,2006,2009,2
-7.157,5,2006,2009,2
-7.263,6,2006,2009,2
-5.914,7,2006,2009,2
-4.99,8,2006,2009,2
-4.315,9,2006,2009,2
-3.25,10,2006,2009,2
-4.209,11,2006,2009,2
-3.925,12,2006,2009,2
-2.504,13,2006,2009,2
-1.51,14,2006,2009,2
0.302,15,2006,2009,2
3.605,16,2006,2009,2
-1.936,17,2006,2009,2
-1.154,18,2006,2009,2
-0.018,19,2006,2009,2
0.693,20,2006,2009,2
2.717,21,2006,2009,2
3.214,22,2006,2009,2
5.523,23,2006,2009,2
6.944,24,2006,2009,2
7.548,25,2006,2009,2
-10.232,1,2008,1747,1
-10.269,2,2008,1747,1
-12.955,3,2008,1747,1
-12.146,4,2008,1747,1
-13.802,5,2008,1747,1
-13.434,6,2008,1747,1
-13.397,7,2008,1747,1
-12.624,8,2008,1747,1
-11.373,9,2008,1747,1
-12.551,10,2008,1747,1
-11.152,11,2008,1747,1
6.404,12,2008,1747,1
6.257,13,2008,1747,1
-3.791,14,2008,1747,1
-2.981,15,2008,1747,1
-1.546,16,2008,1747,1
-1.251,17,2008,1747,1
-1.803,18,2008,1747,1
-1.656,19,2008,1747,1
-1.215,20,2008,1747,1
-1.583,21,2008,1747,1
-1.73,22,2008,1747,1
-1.104,23,2008,1747,1
-0.994,1,2008,1747,2
0.037,2,2008,1747,2
0.331,3,2008,1747,2
0.662,4,2008,1747,2
-0.037,5,2008,1747,2
-0.11,6,2008,1747,2
0.331,7,2008,1747,2
1.583,8,2008,1747,2
1.84,9,2008,1747,2
3.202,10,2008,1747,2
3.828,11,2008,1747,2
4.306,12,2008,1747,2
4.748,13,2008,1747,2
4.748,14,2008,1747,2
5.447,15,2008,1747,2
7.251,16,2008,1747,2
6.993,17,2008,1747,2
8.281,18,2008,1747,2
8.723,19,2008,1747,2
8.244,20,2008,1747,2
10.747,21,2008,1747,2
10.379,22,2008,1747,2
10.858,23,2008,1747,2
10.821,24,2008,1747,2
11.962,25,2008,1747,2
-7.475,1,2010,1920,1
-7.176,2,2010,1920,1
-8.714,3,2010,1920,1
-8.757,4,2010,1920,1
-8.885,5,2010,1920,1
-10.209,6,2010,1920,1
-9.91,7,2010,1920,1
-1.452,8,2010,1920,1
-8.842,9,2010,1920,1
0.812,10,2010,1920,1
-7.689,11,2010,1920,1
-6.707,12,2010,1920,1
-0.812,13,2010,1920,1
-6.493,14,2010,1920,1
-5.211,15,2010,1920,1
-1.88,16,2010,1920,1
4.784,17,2010,1920,1
-4.101,18,2010,1920,1
-4.229,19,2010,1920,1
3.204,20,2010,1920,1
-4.186,21,2010,1920,1
-4.699,22,2010,1920,1
3.076,23,2010,1920,1
-3.674,1,2010,1920,2
4.699,2,2010,1920,2
4.229,3,2010,1920,2
-1.751,4,2010,1920,2
2.136,5,2010,1920,2
-2.136,6,2010,1920,2
-1.111,7,2010,1920,2
-0.854,8,2010,1920,2
3.076,9,2010,1920,2
5.083,10,2010,1920,2
0.94,11,2010,1920,2
6.536,12,2010,1920,2
1.837,13,2010,1920,2
2.563,14,2010,1920,2
2.862,15,2010,1920,2
5.254,16,2010,1920,2
4.186,17,2010,1920,2
6.109,18,2010,1920,2
6.066,19,2010,1920,2
8.287,20,2010,1920,2
10.081,21,2010,1920,2
9.355,22,2010,1920,2
9.611,23,2010,1920,2
9.697,24,2010,1920,2
9.996,25,2010,1920,2
-11.709,1,2009,1597,1
-11.392,2,2009,1597,1
-11.212,3,2009,1597,1
-10.172,4,2009,1597,1
-8.092,5,2009,1597,1
-6.781,6,2009,1597,1
-6.555,7,2009,1597,1
-5.515,8,2009,1597,1
-5.154,9,2009,1597,1
-4.837,10,2009,1597,1
-5.561,11,2009,1597,1
-3.797,12,2009,1597,1
-4.159,13,2009,1597,1
-4.25,14,2009,1597,1
-1.899,15,2009,1597,1
2.486,16,2009,1597,1
1.673,17,2009,1597,1
-0.045,18,2009,1597,1
0.362,19,2009,1597,1
-0.271,20,2009,1597,1
-0.271,21,2009,1597,1
-0.678,22,2009,1597,1
-0.362,23,2009,1597,1
-0.226,1,2009,1597,2
1.13,2,2009,1597,2
1.537,3,2009,1597,2
0.181,4,2009,1597,2
-1.221,5,2009,1597,2
-0.452,6,2009,1597,2
-0.045,7,2009,1597,2
0.045,8,2009,1597,2
1.763,9,2009,1597,2
3.526,10,2009,1597,2
3.571,11,2009,1597,2
4.25,12,2009,1597,2
4.973,13,2009,1597,2
5.967,14,2009,1597,2
5.967,15,2009,1597,2
5.967,16,2009,1597,2
5.651,17,2009,1597,2
7.007,18,2009,1597,2
8.092,19,2009,1597,2
8.273,20,2009,1597,2
8.409,21,2009,1597,2
8.454,22,2009,1597,2
7.911,23,2009,1597,2
8.951,24,2009,1597,2
9.629,25,2009,1597,2
-0.13,1,2000,2452,1
-2.084,2,2000,2452,1
5.267,3,2000,2452,1
-15.106,4,2000,2452,1
-13.356,5,2000,2452,1
-11.677,6,2000,2452,1
-7.843,7,2000,2452,1
-2.503,8,2000,2452,1
0.492,9,2000,2452,1
-4.674,10,2000,2452,1
-5.875,11,2000,2452,1
-3.69,12,2000,2452,1
-8.175,13,2000,2452,1
-8.19,14,2000,2452,1
-11.272,15,2000,2452,1
-7.568,16,2000,2452,1
-6.931,17,2000,2452,1
-3.82,18,2000,2452,1
-2.503,19,2000,2452,1
-2.532,20,2000,2452,1
-4.63,21,2000,2452,1
-3.878,22,2000,2452,1
-1.461,23,2000,2452,1
1.751,1,2000,2452,2
0.434,2,2000,2452,2
0.014,3,2000,2452,2
-0.449,4,2000,2452,2
-0.969,5,2000,2452,2
-0.014,6,2000,2452,2
1.013,7,2000,2452,2
2.633,8,2000,2452,2
0.579,9,2000,2452,2
1.751,10,2000,2452,2
1.982,11,2000,2452,2
1.736,12,2000,2452,2
2.46,13,2000,2452,2
32.6,14,2000,2452,2
33.005,15,2000,2452,2
32.484,16,2000,2452,2
32.311,17,2000,2452,2
32.398,18,2000,2452,2
32.629,19,2000,2452,2
33.005,20,2000,2452,2
33.83,21,2000,2452,2
33.671,22,2000,2452,2
37.751,23,2000,2452,2
38.157,24,2000,2452,2
38.692,25,2000,2452,2
-16.082,1,1997,2808,1
-19.742,2,1997,2808,1
-18.778,3,1997,2808,1
-14.467,4,1997,2808,1
-12.189,5,1997,2808,1
-8.994,6,1997,2808,1
-3.788,7,1997,2808,1
-8.994,8,1997,2808,1
-9.83,9,1997,2808,1
-9.947,10,1997,2808,1
-7.518,11,1997,2808,1
-10.249,12,1997,2808,1
-11.992,13,1997,2808,1
-11.318,14,1997,2808,1
-7.239,15,1997,2808,1
-17.616,16,1997,2808,1
-13.653,17,1997,2808,1
-7.483,18,1997,2808,1
-0.116,19,1997,2808,1
-1.023,20,1997,2808,1
3.149,21,1997,2808,1
4.811,22,1997,2808,1
8.587,23,1997,2808,1
10.806,1,1997,2808,2
10.469,2,1997,2808,2
5.38,3,1997,2808,2
0.116,4,1997,2808,2
2.01,5,1997,2808,2
1.429,6,1997,2808,2
1.662,7,1997,2808,2
2.545,8,1997,2808,2
0.407,9,1997,2808,2
3.939,10,1997,2808,2
9.551,11,1997,2808,2
11.016,12,1997,2808,2
10.83,13,1997,2808,2
6.739,14,1997,2808,2
5.508,15,1997,2808,2
3.265,16,1997,2808,2
3.137,17,1997,2808,2
2.951,18,1997,2808,2
2.126,19,1997,2808,2
0.848,20,1997,2808,2
-1.057,21,1997,2808,2
-1.522,22,1997,2808,2
-3.579,23,1997,2808,2
-2.126,24,1997,2808,2
2.196,25,1997,2808,2
-3.862,1,1994,3384,1
-3.862,2,1994,3384,1
-3.209,3,1994,3384,1
-2.54,4,1994,3384,1
-2.169,5,1994,3384,1
0.074,6,1994,3384,1
-1.367,7,1994,3384,1
-0.074,8,1994,3384,1
5.867,9,1994,3384,1
5.437,10,1994,3384,1
2.228,11,1994,3384,1
3.119,12,1994,3384,1
-0.431,13,1994,3384,1
-1.783,14,1994,3384,1
0.282,15,1994,3384,1
-1.887,16,1994,3384,1
-0.253,17,1994,3384,1
0.52,18,1994,3384,1
1.352,19,1994,3384,1
1.396,20,1994,3384,1
-1.248,21,1994,3384,1
-0.327,22,1994,3384,1
-1.723,23,1994,3384,1
2.421,1,1994,3384,2
0.98,2,1994,3384,2
-3.506,3,1994,3384,2
-2.094,4,1994,3384,2
-1.931,5,1994,3384,2
0.624,6,1994,3384,2
-0.966,7,1994,3384,2
0.371,8,1994,3384,2
-0.178,9,1994,3384,2
-5.526,10,1994,3384,2
-3.075,11,1994,3384,2
-1.901,12,1994,3384,2
-0.267,13,1994,3384,2
-0.357,14,1994,3384,2
3.714,15,1994,3384,2
0.312,16,1994,3384,2
21.673,17,1994,3384,2
20.024,18,1994,3384,2
13.235,19,1994,3384,2
11.378,20,1994,3384,2
13.384,21,1994,3384,2
13.443,22,1994,3384,2
17.097,23,1994,3384,2
15.998,24,1994,3384,2
14.795,25,1994,3384,2
-25.494,1,1984,3100,1
-25.853,2,1984,3100,1
-25.227,3,1984,3100,1
-30.596,4,1984,3100,1
-30.165,5,1984,3100,1
-23.944,6,1984,3100,1
-19.971,7,1984,3100,1
-23.882,8,1984,3100,1
-22.958,9,1984,3100,1
-22.497,10,1984,3100,1
-21.449,11,1984,3100,1
-21.419,12,1984,3100,1
-22.404,13,1984,3100,1
-22.856,14,1984,3100,1
-17.497,15,1984,3100,1
-20.957,16,1984,3100,1
-12.981,17,1984,3100,1
-3.331,18,1984,3100,1
-3.095,19,1984,3100,1
-2.654,20,1984,3100,1
-1.904,21,1984,3100,1
-1.75,22,1984,3100,1
1.309,23,1984,3100,1
2.654,1,1984,3100,2
2.654,2,1984,3100,2
1.904,3,1984,3100,2
1.463,4,1984,3100,2
0.96,5,1984,3100,2
0.765,6,1984,3100,2
2.654,7,1984,3100,2
2.654,8,1984,3100,2
2.654,9,1984,3100,2
2.654,10,1984,3100,2
2.654,11,1984,3100,2
2.654,12,1984,3100,2
2.654,13,1984,3100,2
2.654,14,1984,3100,2
0.518,15,1984,3100,2
-1.781,16,1984,3100,2
2.654,17,1984,3100,2
2.654,18,1984,3100,2
2.654,19,1984,3100,2
2.654,20,1984,3100,2
2.654,21,1984,3100,2
12.919,22,1984,3100,2
12.919,23,1984,3100,2
12.919,24,1984,3100,2
-0.518,25,1984,3100,2
-12.942,1,1994,1512,1
-13.501,2,1994,1512,1
-11.872,3,1994,1512,1
-16.76,4,1994,1512,1
-16.713,5,1994,1512,1
-17.039,6,1994,1512,1
-16.294,7,1994,1512,1
-15.177,8,1994,1512,1
-14.199,9,1994,1512,1
-15.27,10,1994,1512,1
-13.082,11,1994,1512,1
-12.709,12,1994,1512,1
-12.058,13,1994,1512,1
-8.845,14,1994,1512,1
-6.89,15,1994,1512,1
-5.633,16,1994,1512,1
-4.143,17,1994,1512,1
-3.957,18,1994,1512,1
-4.19,19,1994,1512,1
-2.421,20,1994,1512,1
-1.35,21,1994,1512,1
-0.14,22,1994,1512,1
-0.931,23,1994,1512,1
0,1,1994,1512,2
0.605,2,1994,1512,2
0.372,3,1994,1512,2
0,4,1994,1512,2
2.048,5,1994,1512,2
2.142,6,1994,1512,2
0.791,7,1994,1512,2
2.374,8,1994,1512,2
1.117,9,1994,1512,2
2.374,10,1994,1512,2
1.769,11,1994,1512,2
0.838,12,1994,1512,2
0.466,13,1994,1512,2
2.142,14,1994,1512,2
2.188,15,1994,1512,2
3.585,16,1994,1512,2
3.212,17,1994,1512,2
3.771,18,1994,1512,2
5.214,19,1994,1512,2
5.68,20,1994,1512,2
6.611,21,1994,1512,2
7.263,22,1994,1512,2
8.799,23,1994,1512,2
12.803,24,1994,1512,2
13.687,25,1994,1512,2
-5.219,1,1997,1296,1
-7.413,2,1997,1296,1
-2.799,3,1997,1296,1
-19.592,4,1997,1296,1
-19.743,5,1997,1296,1
-14.221,6,1997,1296,1
-3.631,7,1997,1296,1
1.135,8,1997,1296,1
3.177,9,1997,1296,1
3.026,10,1997,1296,1
6.203,11,1997,1296,1
6.203,12,1997,1296,1
4.69,13,1997,1296,1
8.85,14,1997,1296,1
11.12,15,1997,1296,1
11.8,16,1997,1296,1
12.784,17,1997,1296,1
1.437,18,1997,1296,1
-5.295,19,1997,1296,1
-4.841,20,1997,1296,1
-2.194,21,1997,1296,1
0.53,22,1997,1296,1
-3.177,23,1997,1296,1
-4.841,1,1997,1296,2
-1.74,2,1997,1296,2
0,3,1997,1296,2
0.378,4,1997,1296,2
-0.605,5,1997,1296,2
0,6,1997,1296,2
0,7,1997,1296,2
2.95,8,1997,1296,2
1.437,9,1997,1296,2
4.917,10,1997,1296,2
1.059,11,1997,1296,2
-5.9,12,1997,1296,2
-6.657,13,1997,1296,2
-4.236,14,1997,1296,2
-9.834,15,1997,1296,2
-14.07,16,1997,1296,2
-17.852,17,1997,1296,2
-16.188,18,1997,1296,2
-7.337,19,1997,1296,2
-2.421,20,1997,1296,2
7.489,21,1997,1296,2
